company name,continent,country,address,email,phone,fax
WMM - Weber Marketing- &amp; Marktforschung GmbH,Europe,Germany,Humboldtstrasse 53-55 Haus B 22083 Hamburg Germany       ,info@wmm.de,Phone: +4940226227630,
SINUS Markt- und Sozialforschung GmbH,Europe,Germany,Gaisbergstraße 6 69115 Heidelberg Germany        ,susanne.ernst@sinus-institut.de,Phone: +49-6221-80890,Fax: +49-6221-808.925
ISM GLOBAL DYNAMICS GmbH,Europe,Germany,Hessenring 89 61348 Bad Homburg v. d. Höhe Germany        ,info@globdyn.com,Phone: +49-6172-9213-0,Fax: +49-6172-9213-499
IfA Marktforschung Bremer + Partner GmbH,Europe,Germany,Westendhof 5 45143 Essen Germany        ,mailbox@ifa-germany.de,Phone: +49-201-833.2530,Fax: +49-201-833.2532
Unabhängiges Meinungsforschungsinstitut INFO GmbH,Europe,Germany,Schönholzer Str. 1A D-13187 Berlin Germany        ,mail@infogmbh.de,Phone: 493 049 0010,Fax: +49-30-4900.1499
SKOPOS Institut für Markt- und Kommunikationsforschung GmbH &amp; Co. KG,Europe,Germany,Hans-Boeckler-Strasse 163 50354 Koeln-Huerth Germany        ,mail@skopos.de,Phone: +49-2233-99880,Fax: +49-2233-9988111
Spectos GmbH,Europe,Germany,Theaterstr 6 01067 Dresden Germany       ,info@spectos.com,Phone: +49351320250,
infas Institut für angewandte Sozialwissenschaft GmbH,Europe,Germany,Friedrich-Wilhelm-Str. 18 53113 Bonn Germany        ,info@infas.de,Phone: 492 283 8220,Fax: +49-228-3100 71
MRC Managing Research for Companies GmbH,Europe,Germany,Konsul-Smidt-Strasse 76 28217 Bremen Germany        ,mrc-bremen@mrc.de,Phone: +49-421-322.7910,Fax: +49-421-322.7979
mc markt-consult Institut für Strukturforschung &amp; Marketingberatung GmbH,Europe,Germany,HammerbrookstraÃe 93 20097 Hamburg Germany        ,info@markt-consult.com,Phone: +49-40-386.0420,Fax: +49-40-3860.4218
Foerster &amp; Thelen Marktforschung Feldservice GmbH,Europe,Germany,Stühmeyerstraße 16 44787 Bochum NRW Germany        ,info@ftmafo.de,Phone: 492 345 0740,Fax: +49-234-5074-199
GapFish GmbH,Europe,Germany,Uhlandstraße 175 Berlin Germany        ,info@gapfish.com,Phone: +49 30 809 5206 - 11,Fax: +49-30809520699
NORSTAT Deutschland GmbH,Europe,Germany,Kaflerstrasse 8 81241 Munich Germany        ,info@norstat.de,Phone: +49 (0) 89 5480 1940,Fax: +49 (0) 89 5480 19499
Perleberg Pharma Partner,Europe,Germany,Wartenau 12a 22089 Hamburg Germany        ,office@ppp-health-research.com,Phone: +49-40-235.1930,Fax: +49-40-2351.9315
COBUS Marktforschung GmbH,Europe,Germany,Leopoldstrasse 1 76133 Karlsruhe Germany        ,info@cobus.de,Phone: +49-721-160.090,Fax: +49-721-160.0920
Institut für Demoskopie Allensbach GmbH,Europe,Germany,Radolfzeller Str. 8 78472 Allensbach am Bodensee Germany        ,info@ifd-allensbach.de,Phone: 497 533 8050,Fax: 497 533 3048
EPINION - Germany - Research &amp; Insights,Europe,Germany,Ericusspitze 4 20457 Hamburg Germany       ,contact@epinionglobal.com,Phone: +43 (0) 699 13180416,
Kohorten GmbH &amp; Co. KG,Europe,Germany,Kranzplatz 11 65183 Wiesbaden Germany        ,info@kohorten.com,Phone: +49-611-991.610,Fax: +49-611-991.6190
Spiegel Institut Mannheim GmbH &amp; Co. KG,Europe,Germany,Eastsite VI Hermsheimer Str. 5 68163 Mannheim Baden-Württemberg Germany        ,info@spiegel-institut.de,Phone: +49-621-72844-0,Fax: +49-621-72844-199
comperis GmbH,Europe,Germany,Dornierstr. 17 70469 Stuttgart Germany        ,info@comperis.de,Phone: +49-711-128524-20,Fax: +49-711-128524-30
RONIN,Europe,United-Kingdom-GB,80-84 Bondway SW81SF London United Kingdom (GB)        ,info@ronin.com,Phone: +44-20-7091-1400,Fax: +44-20-7091-1401
Ugam,Europe,United-Kingdom-GB,1st Floor Dean Bradley House 52 Horseferry Road SW1P 2AF London England United Kingdom (GB)        ,enquiries@ugamsolutions.com,Phone: +44 207-222-0123,Fax: +44-20-7803.1497
Circle Research,Europe,United-Kingdom-GB,71 Hopton Street SE1 9LR London United Kingdom (GB)        ,andrew.dalglish@circle-research.com,Phone: +44 (0)20 7960 3802,Fax: +44 (0)20 7928 6052
Made in Studios,Europe,United-Kingdom-GB,85-89 Colmore Row B3 2BB Birmingham United Kingdom (GB)       ,r.leray@madeinsurveys.com,Phone: +44 (0)121 679 0105,
Medicys Limited,Europe,United-Kingdom-GB,152 Staplehurst Road ME10 1QZ Sittingbourne Kent United Kingdom (GB)        ,info@medicysltd.co.uk,Phone: +44 (0) 1795 426655,Fax: +44-1795-428833
